

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 787 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 74.55%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 200 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 787
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980310/inputs/dataset_262704a0-35ad-4f02-881a-bdd3196daf1c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 200 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.028737
Bootstrap[0]: Time 104.851435 seconds, bootstrap likelihood -139348.170638, best rearrangement setting 13
rate M <-> Y: 0.451968
rate M <-> V: 1.782983
rate F <-> P: 0.088706
rate F <-> S: 0.339765
rate F <-> T: 0.154944
rate F <-> W: 2.307349
rate F <-> Y: 7.328222
rate F <-> V: 0.614777
rate P <-> S: 1.256567
rate P <-> T: 0.536635
rate P <-> W: 0.089332
rate P <-> Y: 0.084151
rate P <-> V: 0.278428
rate S <-> T: 6.077767
rate S <-> W: 0.233693
rate S <-> Y: 0.376132
rate S <-> V: 0.092373
rate T <-> W: 0.132241
rate T <-> Y: 0.230856
rate T <-> V: 2.054781
rate W <-> Y: 2.959699
rate W <-> V: 0.177959
rate Y <-> V: 0.234116

freq pi(A): 0.079066
freq pi(R): 0.055941
freq pi(N): 0.041977
freq pi(D): 0.053052
freq pi(C): 0.012937
freq pi(Q): 0.040767
freq pi(E): 0.071586
freq pi(G): 0.057337
freq pi(H): 0.022355
freq pi(I): 0.062157
freq pi(L): 0.099081
freq pi(K): 0.064600
freq pi(M): 0.022951
freq pi(F): 0.042302
freq pi(P): 0.044040
freq pi(S): 0.061197
freq pi(T): 0.053287
freq pi(W): 0.012066
freq pi(Y): 0.034155
freq pi(V): 0.069146


ML search took 39540.782482 secs or 10.983551 hours

Combined Bootstrap and ML search took 56492.763583 secs or 15.692434 hours

Drawing Bootstrap Support Values on best-scoring ML tree ...



Found 1 tree in File /jetstream2/scratch/main/jobs/72980310/working/RAxML_bestTree.galaxy



Found 1 tree in File /jetstream2/scratch/main/jobs/72980310/working/RAxML_bestTree.galaxy

Program execution info written to /jetstream2/scratch/main/jobs/72980310/working/RAxML_info.galaxy
All 200 bootstrapped trees written to: /jetstream2/scratch/main/jobs/72980310/working/RAxML_bootstrap.galaxy

Best-scoring ML tree written to: /jetstream2/scratch/main/jobs/72980310/working/RAxML_bestTree.galaxy

Best-scoring ML tree with support values written to: /jetstream2/scratch/main/jobs/72980310/working/RAxML_bipartitions.galaxy

Best-scoring ML tree with support values as branch labels written to: /jetstream2/scratch/main/jobs/72980310/working/RAxML_bipartitionsBranchLabels.galaxy

Overall execution time for full ML analysis: 56492.834798 secs or 15.692454 hours or 0.653852 days

