

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 721 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 73.98%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 200 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 721
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980314/inputs/dataset_8c8cb86e-5e9e-4579-aeb1-285e82431c26.dat -n galaxy -m PROTGAMMALG -p 12345 -N 200 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 1.984107
Bootstrap[0]: Time 121.922748 seconds, bootstrap likelihood -139755.213696, best rearrangement setting 13
rate M <-> Y: 0.451968
rate M <-> V: 1.782983
rate F <-> P: 0.088706
rate F <-> S: 0.339765
rate F <-> T: 0.154944
rate F <-> W: 2.307349
rate F <-> Y: 7.328222
rate F <-> V: 0.614777
rate P <-> S: 1.256567
rate P <-> T: 0.536635
rate P <-> W: 0.089332
rate P <-> Y: 0.084151
rate P <-> V: 0.278428
rate S <-> T: 6.077767
rate S <-> W: 0.233693
rate S <-> Y: 0.376132
rate S <-> V: 0.092373
rate T <-> W: 0.132241
rate T <-> Y: 0.230856
rate T <-> V: 2.054781
rate W <-> Y: 2.959699
rate W <-> V: 0.177959
rate Y <-> V: 0.234116

freq pi(A): 0.079066
freq pi(R): 0.055941
freq pi(N): 0.041977
freq pi(D): 0.053052
freq pi(C): 0.012937
freq pi(Q): 0.040767
freq pi(E): 0.071586
freq pi(G): 0.057337
freq pi(H): 0.022355
freq pi(I): 0.062157
freq pi(L): 0.099081
freq pi(K): 0.064600
freq pi(M): 0.022951
freq pi(F): 0.042302
freq pi(P): 0.044040
freq pi(S): 0.061197
freq pi(T): 0.053287
freq pi(W): 0.012066
freq pi(Y): 0.034155
freq pi(V): 0.069146


ML search took 35489.375315 secs or 9.858160 hours

Combined Bootstrap and ML search took 52922.955825 secs or 14.700821 hours

Drawing Bootstrap Support Values on best-scoring ML tree ...



Found 1 tree in File /jetstream2/scratch/main/jobs/72980314/working/RAxML_bestTree.galaxy



Found 1 tree in File /jetstream2/scratch/main/jobs/72980314/working/RAxML_bestTree.galaxy

Program execution info written to /jetstream2/scratch/main/jobs/72980314/working/RAxML_info.galaxy
All 200 bootstrapped trees written to: /jetstream2/scratch/main/jobs/72980314/working/RAxML_bootstrap.galaxy

Best-scoring ML tree written to: /jetstream2/scratch/main/jobs/72980314/working/RAxML_bestTree.galaxy

Best-scoring ML tree with support values written to: /jetstream2/scratch/main/jobs/72980314/working/RAxML_bipartitions.galaxy

Best-scoring ML tree with support values as branch labels written to: /jetstream2/scratch/main/jobs/72980314/working/RAxML_bipartitionsBranchLabels.galaxy

Overall execution time for full ML analysis: 52923.022120 secs or 14.700839 hours or 0.612535 days

